"Company","Industry","State","Metro","URL"
"Harley Stanfield","Real Estate","District of Columbia","Washington","http://www.inc.com/profile/harley-stanfield"
"Amir Amirfar and Associates","Construction","California",,"http://www.inc.com/profile/amir-amirfar-and-associates"
"Glispa Media","Advertising & Marketing","New York",,"http://www.inc.com/profile/glispa-media"
"Hollingsworth Capital Partners","Real Estate","Tennessee",,"http://www.inc.com/profile/hollingsworth-capital-partners"
"BlueStar Energy Solutions","Energy","Illinois","Chicago","http://www.inc.com/profile/bluestar-energy-solutions"
"beBetter Networks","Health","West Virginia","Charleston","http://www.inc.com/profile/bebetter-networks"
"Carahsoft Technology","Government Services","Virginia","Washington","http://www.inc.com/profile/carahsoft-technology"
"Cameron Hughes Wine","Food & Beverage","California",,"http://www.inc.com/profile/cameron-hughes-wine"
"WebHouse","IT Services","New York","New York City","http://www.inc.com/profile/webhouse"
"HostGator","Business Services","Texas",,"http://www.inc.com/profile/hostgator"
"Agistix","Software","California",,"http://www.inc.com/profile/agistix"
"StrataLight Communications","Telecommunications","California",,"http://www.inc.com/profile/stratalight-communications"
"Woot","Retail","Texas",,"http://www.inc.com/profile/woot"
"Premier Payment Systems","Financial Services","Illinois",,"http://www.inc.com/profile/premier-payment-systems"
"TicketNetwork.com","Software","Connecticut","Hartford-West Hartford-East Hartford","http://www.inc.com/profile/ticketnetworkcom"
"ESC Select","Human Resources","New York","Buffalo-Niagara Falls","http://www.inc.com/profile/esc-select"
"Merchant Processing Services","Financial Services","New York","New York City","http://www.inc.com/profile/merchant-processing-services"
"Hardwire","Government Services","Maryland","Ocean Pines","http://www.inc.com/profile/hardwire"
"Skullcandy","Consumer Products & Services","Utah","Salt Lake City","http://www.inc.com/profile/skullcandy"
"Financial Intelligence","Financial Services","California",,"http://www.inc.com/profile/financial-intelligence"
"AdBrite","Advertising & Marketing","California","San Francisco","http://www.inc.com/profile/adbrite"
"ForeclosuresDaily.com","Real Estate","Florida",,"http://www.inc.com/profile/foreclosuresdailycom"
"LHR Technologies","Consumer Products","Texas",,"http://www.inc.com/profile/lhr-technologies"
"Milestone Metals","Manufacturing","Virginia","Washington","http://www.inc.com/profile/milestone-metals"
"FURminator","Consumer Products & Services","Missouri","St. Louis","http://www.inc.com/profile/furminator"
